"","year","month","mean_temp_ger"
"208",1946,"02",2.42
"209",1947,"02",-6.62
"210",1948,"02",0.47
"211",1949,"02",1.66
"212",1950,"02",2.95
"213",1951,"02",1.85
"214",1952,"02",-0.08
"215",1953,"02",-0.1
"216",1954,"02",-3.53
"217",1955,"02",-1.92
"218",1956,"02",-9.62
"219",1957,"02",3.8
"220",1958,"02",1.86
"221",1959,"02",-0.06
"222",1960,"02",0.4
"223",1961,"02",4.41
"224",1962,"02",0.32
"225",1963,"02",-5.74
"226",1964,"02",0.55
"227",1965,"02",-1.77
"228",1966,"02",3.52
"229",1967,"02",2.77
"230",1968,"02",0.68
"231",1969,"02",-2.13
"232",1970,"02",-1.14
"233",1971,"02",1.36
"234",1972,"02",1.95
"235",1973,"02",1.03
"236",1974,"02",3.16
"237",1975,"02",1.36
"238",1976,"02",0.47
"239",1977,"02",3.04
"240",1978,"02",-1.38
"241",1979,"02",-1.79
"242",1980,"02",2.14
"243",1981,"02",-0.41
"244",1982,"02",-0.11
"245",1983,"02",-1.68
"246",1984,"02",-0.31
"247",1985,"02",-3.07
"248",1986,"02",-6.43
"249",1987,"02",-0.32
"250",1988,"02",2.07
"251",1989,"02",3.35
"252",1990,"02",5.74
"253",1991,"02",-2.44
"254",1992,"02",2.84
"255",1993,"02",-0.68
"256",1994,"02",-0.19
"257",1995,"02",4.57
"258",1996,"02",-2.18
"259",1997,"02",4.1
"260",1998,"02",4.33
"261",1999,"02",0.39
"262",2000,"02",3.87
"263",2001,"02",2.26
"264",2002,"02",5.05
"265",2003,"02",-1.86
"266",2004,"02",2.42
"267",2005,"02",-1.03
"268",2006,"02",-0.36
"269",2007,"02",3.94
"270",2008,"02",3.72
"271",2009,"02",0.51
"272",2010,"02",-0.5
"273",2011,"02",0.93
"274",2012,"02",-2.5
"275",2013,"02",-0.72
"276",2014,"02",4.34
"277",2015,"02",0.72
"278",2016,"02",3.33
"279",2017,"02",2.9
"280",2018,"02",-1.87
"281",2019,"02",3.95
"282",2020,"02",5.29
"283",2021,"02",1.71
"284",2022,"02",4.47
"285",1881,"03",2.61
"286",1882,"03",5.96
"287",1883,"03",-1.66
"288",1884,"03",4.65
"289",1885,"03",2.46
"290",1886,"03",0.38
"291",1887,"03",1.09
"292",1888,"03",0.69
"293",1889,"03",0.3
"294",1890,"03",4.11
"295",1891,"03",2.59
"296",1892,"03",0.5
"297",1893,"03",4.33
"298",1894,"03",4.65
"299",1895,"03",1.35
"300",1896,"03",5.29
"301",1897,"03",5.01
"302",1898,"03",2.86
"303",1899,"03",2.56
"304",1900,"03",0.56
"305",1901,"03",2.13
"306",1902,"03",3.4
"307",1903,"03",5.7
"308",1904,"03",3.04
"309",1905,"03",4.53
"310",1906,"03",2.23
"311",1907,"03",2.63
"312",1908,"03",2.34
"313",1909,"03",1.53
"314",1910,"03",3.7
"315",1911,"03",3.97
"316",1912,"03",6.02
"317",1913,"03",5.99
"318",1914,"03",4.65
"319",1915,"03",1.73
"320",1916,"03",3.94
"321",1917,"03",0
"322",1918,"03",4.04
"323",1919,"03",3
"324",1920,"03",6.11
"325",1921,"03",5.63
"326",1922,"03",3.47
"327",1923,"03",4.91
"328",1924,"03",2.19
"329",1925,"03",1.29
"330",1926,"03",3.99
"331",1927,"03",5.85
"332",1928,"03",2.94
"333",1929,"03",2.59
"334",1930,"03",4.17
"335",1931,"03",0.17
"336",1932,"03",0.8
"337",1933,"03",5.09
"338",1934,"03",4.09
"339",1935,"03",2.74
"340",1936,"03",4.99
"341",1937,"03",2.88
"342",1938,"03",6.96
"343",1939,"03",1.74
"344",1940,"03",2.75
"345",1941,"03",3.25
"346",1942,"03",1.41
"347",1943,"03",5.62
"348",1944,"03",0.94
"349",1945,"03",6
"350",1946,"03",3.71
"351",1947,"03",2.61
"352",1948,"03",5.66
"353",1949,"03",2.03
"354",1950,"03",4.79
"355",1951,"03",2.23
"356",1952,"03",2.58
"357",1953,"03",4.8
"358",1954,"03",4.32
"359",1955,"03",0.44
"360",1956,"03",2.93
"361",1957,"03",6.36
"362",1958,"03",-0.32
"363",1959,"03",6.22
"364",1960,"03",4.3
"365",1961,"03",6.04
"366",1962,"03",0.21
"367",1963,"03",2.45
"368",1964,"03",0.58
"369",1965,"03",2.27
"370",1966,"03",3.27
"371",1967,"03",5.4
"372",1968,"03",4.4
"373",1969,"03",0.86
"374",1970,"03",1.16
"375",1971,"03",0.95
"376",1972,"03",5.29
"377",1973,"03",3.91
"378",1974,"03",5.65
"379",1975,"03",3.6
"380",1976,"03",1.34
"381",1977,"03",6.14
"382",1978,"03",4.84
"383",1979,"03",3.67
"384",1980,"03",3.32
"385",1981,"03",6.8
"386",1982,"03",4.18
"387",1983,"03",4.55
"388",1984,"03",2
"389",1985,"03",2.84
"390",1986,"03",3.03
"391",1987,"03",-0.44
"392",1988,"03",2.72
"393",1989,"03",6.98
"394",1990,"03",6.92
"395",1991,"03",6.41
"396",1992,"03",4.84
"397",1993,"03",3.64
"398",1994,"03",6.34
"399",1995,"03",3.11
"400",1996,"03",1
"401",1997,"03",5.84
"402",1998,"03",4.98
"403",1999,"03",5.41
"404",2000,"03",5.17
"405",2001,"03",4.23
"406",2002,"03",5.39
"407",2003,"03",5.34
"408",2004,"03",4.11
"409",2005,"03",3.63
"410",2006,"03",1.52
"411",2007,"03",6.18
"412",2008,"03",4.24
"413",2009,"03",4.3
"414",2010,"03",4.2
"415",2011,"03",4.91
"416",2012,"03",6.94
"417",2013,"03",0.07
"418",2014,"03",6.94
"419",2015,"03",5.18
"420",2016,"03",4.01
"421",2017,"03",7.2
"422",2018,"03",2.36
"423",2019,"03",6.58
"424",2020,"03",5.27
"425",2021,"03",4.77
"426",2022,"03",5.09
"427",1881,"04",5.55
"428",1882,"04",7.71
"429",1883,"04",6.06
"430",1884,"04",6.06
"431",1885,"04",9.23
"432",1886,"04",8.73
"433",1887,"04",7.09
"434",1888,"04",5.68
"435",1889,"04",6.88
"436",1890,"04",6.81
"437",1891,"04",5.07
"438",1892,"04",7.01
"439",1893,"04",8.83
"440",1894,"04",9.92
"441",1895,"04",8.55
"442",1896,"04",5.9
"443",1897,"04",7.21
"444",1898,"04",7.27
"445",1899,"04",7.13
"446",1900,"04",6.46
"447",1901,"04",8.02
"448",1902,"04",7.82
"449",1903,"04",4.65
"450",1904,"04",8.82
"451",1905,"04",5.89
"452",1906,"04",7.95
"453",1907,"04",6.09
"454",1908,"04",5.37
"455",1909,"04",7.78
"456",1910,"04",7.25
"457",1911,"04",7.24
"458",1912,"04",6.86
"459",1913,"04",7.8
"460",1914,"04",9.81
"461",1915,"04",6.86
"462",1916,"04",8.24
